address,USDC.e,USDT.e,DAI.e,MIM,WETH.e,AnyETH,WBTC.e,renBTC,USDC.e LP,USDT.e LP,DAI.e LP,MIM LP,WETH.e LP,AnyETH LP,WBTC.e LP,renBTC LP
0x1a576a2E4108080a00FD9C0C3A0340690267D70C,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x86Bd293D6b1803312E0B828B247036d1B6C5455C,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xC7D2c67bC38b0E8b15B632c19Ef629022FD56543,2300.0,0.0,5799.483615843044587428,6398.023614846676937867,0.2,0.2,0.03,0.01,1698.576353,1999.923168,1199.533696624602821967,599.494876962873121711,0.299787922907736542,0.299995304321072939,0.03997083,0.01999966
0x25Cb3CCf573967c822d7B2644145d152B2a3Dae3,0.0,0.0,0.0,0.0,0.998658507288557385,0.0,0.0,0.09994298,5999.212128,5999.824104,4999.27291910071409503,2999.923186769613028055,0.0,0.0,0.0,0.0
0x6273CA89C39C8576611B3d6E4737E7814d81AB21,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x437dF1b0399793e8B439d25FBC8ADd60C00f3598,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xdC72c74e292400F8C96D1B3CCBe93CD2A3EfC466,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xB76B101A53881096C7f8057ab1970e8aB87BCBb2,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xCfd216BC3D347c4d173267ae4456f7a1A23f0c1b,4993.927935,199.996009,202.729008986081221784,199.999520791681921626,0.200000085538531246,0.199765554791595839,0.0,0.09991998,189.652578,0.0,0.0,199.995945586359313078,0.599980812511905964,0.0,0.0,0.0
0xfd63f660caa50c4c698796d019783eb383a9074d,0.0,0.0,0.0,0.0,0.6,0.4,0.06,0.04,0.0,11027.682899,0.0,2999.95617210813372781,0.0,0.0,0.0,0.0
0x46774553BB668C8ac854aa4dB5706f5c06fA7486,1000.0,5000.0,5000.0,0.0,0.0,0.4,0.06,0.04,2999.606263,999.970714,0.0,4999.024398667859436741,0.599974100032469812,0.0,0.0,0.0
0xc43220806C604c981bC389b33e9ca73D49F0E33d,0.0,0.0,0.0,0.0,0.0,0.999743779467583754,0.0,0.04,399.57422,0.0,19587.493639858612537033,0.0,0.0,0.0,0.0,0.0
0x1a363fE0cDbDc0be1d000831ac4F444454Df7753,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xD417B6829Cf096DD1442339d5B4441a9c0877893,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,6031.191162,5979.857218,7985.835192362840445222,0.0,0.599984230923963731,0.0,0.09998146,0.0
0x00085a6b85B15E7a6BC9F4F4E937Ba1709d5fc57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10994.833301,3998.52049,2998.194741635578252515,6500.455254581661816897,0.799981673860502503,0.794828256148542204,0.07999067,0.01999983
0x7afb06b1358628F567C272A4a1E054B060a2D71c,0.0,61.627022,9.996000240227775548,9.995796557374301575,0.999771861054265584,0.0,0.09997622,0.0,5299.310479,6199.803146,5199.272953279339928654,3199.925427441940664877,0.0,0.0,0.0,0.0
0x040d875218292dac30C8df2Fff1870966F7945c2,0.0,0.0,0.0,0.0,0.0,0.99934011353432231,0.0,0.09994388,19985.95668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xEa1091B5dEfb902D22c22b31A3EC8946e06e0cca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.745801,2998.932589,2999.640673499668990145,11996.097049007249015928,0.299992779288708497,0.699867359158122029,0.06999565,0.02999882
0x9a070851847fc53F1c96ba3c9e7DCe9acB1d84AC,0.0,0.0,0.0,0.0,0.6,0.4,0.06,0.04,0.0,5999.844,0.0,19986.231608926129068054,0.0,0.0,0.0,0.0
0xbA920D03d36975526d310e4F5A3e55D5cD894cc5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25983.457877443325813631,0.0,0.999826217188030155,0.0,0.0999816,0.0
0xfCD807b6c97F70d9D83D5bBA2A3B6457A4545B17,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xAB10eBbf69A05aC08BE27187054Fb51090301175,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x97F8621Eac2Bb4873Afb3e537676dA98da8149c7,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x99E48f65f57b7b4C6f253eFfC5429192F091421C,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x90eb8081c94b56a8278d016252793FD82c0059e7,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xe87600f29e4F4DF4a1F1195870b182ca611ff13A,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x4604A93b5B2C12E11D56B015dE254356B8D7C2b2,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x32B147Fff4bBe07c3cF371f2D6b8E68D140df7Da,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x7557505229E4B96bbD5a0214ACc3eedfD6Bb03f1,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x77A666877fEd01E3FE7b6220eF46CA72d1Ec60C6,0.0,0.0,0.0,0.0,0.0,0.999418724047279115,0.0,0.09997561,5999.237236,5999.853258,4999.392702466269758992,2998.727746968601338934,0.0,0.0,0.0,0.0
0x25978d9e9dc9904bf6357b30b51737769462fcd8,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xbD25cD12943feDDC4A24c847C233F78AF5e61874,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xC82ca51A33A4cE625acF7855aD73398e5719E9b8,6000.0,6000.0,5000.0,3000.0,0.6,0.4,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x91ad48acBefAFDE04d9fEe1c6d233b7Ef2ab95b5,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14994.570554341779894041,0.0,0.9997012163924492,0.09997791,0.0
